chr	gene1	gene2	PIP
chr21	CRYZL1	PRDM15	0.00500250125062531
chr21	TRPM2	KRTAP10-1	0.00500250125062531
chr22	TRMT2A	DDTL	0.00500250125062531
chr3	ABHD10	LINC01565	0.00500250125062531
chr5	RAB3C	SMIM15-AS1	0.00500250125062531
chr7	STX1A	HIPK2	0.00500250125062531
chr11	CHKA	LOC101928896	0.00475237618809405
chr13	LINC01065	COMMD6	0.00475237618809405
chr14	REC8	DNAAF2	0.00475237618809405
chr20	ANGPT4	LINC00656	0.00475237618809405
chr20	LINC01522	PRPF6	0.00475237618809405
chr21	LINC01697	PCSEAT	0.00475237618809405
chr22	THAP7-AS1	PNPLA5	0.00475237618809405
chr5	EGFLAM-AS4	EIF4E1B	0.00475237618809405
chr5	F2RL1	EIF4E1B	0.00475237618809405
chr11	TRIM44	TALAM1	0.00450225112556278
chr18	DLGAP1	RMC1	0.00450225112556278
chr18	AQP4-AS1	LOC339298	0.00450225112556278
chr21	UBE2G2	LOC101928796	0.00450225112556278
chr21	TRPM2	COL6A2	0.00450225112556278
chr5	SLC27A6	PPP2R2B	0.00450225112556278
chr10	CDH23	TRIM8	0.00425212606303152
chr13	LOC112268117	GRK1	0.00425212606303152
chr19	STRN4	ETFB	0.00425212606303152
chr21	SAMSN1	LINC01436	0.00425212606303152
chr21	CXADR	BRWD1-AS1	0.00425212606303152
chr21	LINC01549	ZNF295-AS1	0.00425212606303152
chr21	SIM2	PKNOX1	0.00425212606303152
chr10	SNORD3J	DOCK1	0.00400200100050025
chr15	PPP1R14D	GABPB1-AS1	0.00400200100050025
chr18	CEP76	TMEM241	0.00400200100050025
chr18	CTAGE1	LINC01477	0.00400200100050025
chr18	OSBPL1A	LINC00683	0.00400200100050025
chr4	PAPSS1	ANKRD50	0.00400200100050025
chr11	CWC15	CXCR5	0.00375187593796898
chr13	TBC1D4	IPO5	0.00375187593796898
chr15	MAPK6-DT	INSYN1	0.00375187593796898
chr16	PDIA2	UBN1	0.00375187593796898
chr16	LINC02194	CD2BP2	0.00375187593796898
chr18	INO80C	NEDD4L	0.00375187593796898
chr2	REG3A	ANKRD44-IT1	0.00375187593796898
chr21	SAMSN1	DSCR9	0.00375187593796898
chr21	KRTAP27-1	WDR4	0.00375187593796898
chr7	DAGLB	HTR5A-AS1	0.00375187593796898
chr12	MAP3K12	PLEKHG7	0.00350175087543772
chr13	EEF1DP3	LINC02341	0.00350175087543772
chr14	APEX1	SERPINA9	0.00350175087543772
chr15	TMCO5A	LINGO1	0.00350175087543772
chr18	CEP76	POLI	0.00350175087543772
chr19	SYCE2	ZNF227	0.00350175087543772
chr3	TRIM71	FLNB-AS1	0.00350175087543772
chr4	EXOSC9	F11	0.00350175087543772
chr8	DLGAP2	TAF2	0.00350175087543772
chr8	CCNE2	GPIHBP1	0.00350175087543772
chr13	LINC01065	LINC00564	0.00325162581290645
chr17	KRT15	USH1G	0.00325162581290645
chr18	ZNF532	LINC00908	0.00325162581290645
chr20	SLC52A3	WFDC5	0.00325162581290645
chr21	LOC110091777	AATBC	0.00325162581290645
chr4	LINC02429	MRPL1	0.00325162581290645
chr6	LOC101928540	CALHM6	0.00325162581290645
chr10	XPNPEP1	PNLIPRP2	0.00300150075037519
chr11	LOC101928424	LOC102723838	0.00300150075037519
chr12	CLEC2D	GYS2	0.00300150075037519
chr13	MRPL57	SPATA13	0.00300150075037519
chr13	LINC00402	LIG4	0.00300150075037519
chr15	LINC02490	SNX1	0.00300150075037519
chr18	CETN1	PTPN2	0.00300150075037519
chr18	RAB31	GRP	0.00300150075037519
chr19	MYDGF	SLC7A10	0.00300150075037519
chr21	LIPI	CBR3-AS1	0.00300150075037519
chr22	DMC1	ATXN10	0.00300150075037519
chr22	HORMAD2-AS1	KLHDC7B	0.00300150075037519
chr4	SCLT1	NAA15	0.00300150075037519
chr6	OSTM1	LINC02529	0.00300150075037519
chr7	EIF3B	REPIN1	0.00300150075037519
chr9	ERMP1	AKNA	0.00300150075037519
chr10	PROSER2-AS1	MIR202HG	0.00275137568784392
chr12	CLEC4E	MSI1	0.00275137568784392
chr13	LINC01075	LINC00383	0.00275137568784392
chr15	ARHGAP11B	PLA2G4E	0.00275137568784392
chr15	ATP8B4	LOC440300	0.00275137568784392
chr16	CASKIN1	LINC02185	0.00275137568784392
chr16	APOBR	LINC02125	0.00275137568784392
chr18	TMEM200C	LINC01887	0.00275137568784392
chr18	CABLES1	PSMA8	0.00275137568784392
chr18	RBBP8	LINC01898	0.00275137568784392
chr20	ADA	FLJ16779	0.00275137568784392
chr21	GET1-SH3BGR	TRPM2	0.00275137568784392
chr21	SAMSN1	FTCD	0.00275137568784392
chr22	CLTCL1	MIATNB	0.00275137568784392
chr22	IGLL5	CCDC117	0.00275137568784392
chr5	SEC24A	CSF1R	0.00275137568784392
chr11	IPO7	POLD3	0.00250125062531266
chr13	MLNR	CLDN10-AS1	0.00250125062531266
chr17	AXIN2	TBC1D16	0.00250125062531266
chr18	CETN1	LOC642484	0.00250125062531266
chr18	COLEC12	OACYLP	0.00250125062531266
chr18	DLGAP1-AS5	ZCCHC2	0.00250125062531266
chr18	INO80C	NETO1	0.00250125062531266
chr21	LINC01549	KRTAP19-7	0.00250125062531266
chr21	PCSEAT	C2CD2	0.00250125062531266
chr7	WIPF3	CYP51A1	0.00250125062531266
chr13	ENOX1	LOC100288208	0.00225112556278139
chr18	ESCO1	LINC01902	0.00225112556278139
chr18	ATP8B1	TSHZ1	0.00225112556278139
chr21	CYYR1-AS1	GET1-SH3BGR	0.00225112556278139
chr21	LINC00160	FTCD	0.00225112556278139
chr21	LOC101928796	MCM3AP-AS1	0.00225112556278139
chr13	LINC00347	LINC01044	0.00200100050025012
chr14	PIGH	CALM1	0.00200100050025012
chr17	ZNF207	TBC1D16	0.00200100050025012
chr18	METTL4	CTIF	0.00200100050025012
chr18	KATNAL2	CPLX4	0.00200100050025012
chr18	SLC14A2	DIPK1C	0.00200100050025012
chr18	SERPINB11	DIPK1C	0.00200100050025012
chr19	ZNF676	KCNC3	0.00200100050025012
chr20	SOX12	TCEA2	0.00200100050025012
chr21	RWDD2B	KCNE1	0.00200100050025012
chr21	HMGN1	LINC01671	0.00200100050025012
chr21	TMPRSS2	LOC101928796	0.00200100050025012
chr22	GTSE1	IL17REL	0.00200100050025012
chr6	RRAGD	TPD52L1	0.00200100050025012
chr12	AMN1	OR6C6	0.00175087543771886
chr12	OR6C6	VPS29	0.00175087543771886
chr14	OR10G3	CALM1	0.00175087543771886
chr17	PIPOX	LINC01979	0.00175087543771886
chr20	CDS2	MIR663AHG	0.00175087543771886
chr21	KRTAP15-1	LINC00163	0.00175087543771886
chr21	ZNF295-AS1	COL6A2	0.00175087543771886
chr5	ECSCR	ZFP2	0.00175087543771886
chr9	ACTL7B	C9orf116	0.00175087543771886
chr15	UBR1	TMEM202-AS1	0.00150075037518759
chr18	ANKRD29	NEDD4L	0.00150075037518759
chr20	SLC2A10	ZFP64	0.00150075037518759
chr21	KRTAP19-7	RCAN1	0.00150075037518759
chr21	CLIC6	AATBC	0.00150075037518759
chr21	DSCR9	AGPAT3	0.00150075037518759
chr22	THAP7-AS1	RGL4	0.00150075037518759
chr4	GUF1	LOC101928551	0.00150075037518759
chr14	RPGRIP1	COA8	0.00125062531265633
chr18	RBBP8	LINC01909	0.00125062531265633
chr18	CTIF	LINC01893	0.00125062531265633
chr2	MIR4262	POLR1B	0.00125062531265633
chr2	LINC01806	ARMC9	0.00125062531265633
chr21	TMPRSS15	SPATC1L	0.00125062531265633
chr21	SLC5A3	LOC101930094	0.00100050025012506
chr21	TMPRSS2	SLC37A1	0.00100050025012506
chr21	SON	AIRE	0.00100050025012506
chr21	LINC01678	LINC00163	0.00100050025012506
chr22	TMEM121B	SNRPD3	0.00100050025012506
chr3	SSUH2	MRPL47	0.00100050025012506
chr3	ACVR2B-AS1	MRPL47	0.00100050025012506
chr4	CAMK2D	RNF150	0.00100050025012506
chr6	LINC02535	KATNA1	0.00100050025012506
chr11	TRIM44	FADS2	0.000750375187593797
chr11	FADS2	TALAM1	0.000750375187593797
chr13	ANKRD20A9P	FREM2-AS1	0.000750375187593797
chr15	CFAP161	AP3B2	0.000750375187593797
chr18	TYMSOS	ALPK2	0.000750375187593797
chr21	LINC01549	LINC00114	0.000750375187593797
chr21	WDR4	LINC01679	0.000750375187593797
chr21	SYNJ1	LINC02575	0.000750375187593797
chr21	ERG	LOC101928796	0.000750375187593797
chr3	LRRC2	COPG1	0.000750375187593797
chr3	SETD5	EIF4G1	0.000750375187593797
chr19	AZU1	BTBD2	0.000500250125062531
chr19	AZU1	PROSER3	0.000500250125062531
chr20	LINC00851	KCNG1	0.000500250125062531
chr21	LINC01697	HUNK	0.000500250125062531
chr21	ERVH48-1	RRP1B	0.000500250125062531
chr22	EIF3D	MIEF1	0.000500250125062531
chr7	BCL7B	LINC01392	0.000500250125062531
chr8	TCF24	C8orf89	0.000500250125062531
chr14	SUPT16H	OTX2	0.000250125062531266
chr14	OR6J1	EIF2S1	0.000250125062531266
chr16	LINC02124	LOC100128079	0.000250125062531266
chr18	TYMS	RPRD1A	0.000250125062531266
chr18	IMPACT	PIK3C3	0.000250125062531266
chr18	RNF165	RAB27B	0.000250125062531266
chr19	MEX3D	ZNF99	0.000250125062531266
chr2	GACAT3	RHBDD1	0.000250125062531266
chr21	LINC00515	LINC00310	0.000250125062531266
chr3	CHL1-AS2	UPK1B	0.000250125062531266
chr6	PKHD1	LOC101927136	0.000250125062531266
chr9	CRB2	HSPA5	0.000250125062531266
