gene1	gene2	PIP	chr
SAMSN1	ERG	0.000833333333333333	21
MIR99AHG	ERG	0.002	21
C21orf62	ERG	0.00116666666666667	21
LIPI	LINC00114	0.016	21
RWDD2B	BRWD1	0.001	21
MAP3K7CL	BRWD1	0.0121666666666667	21
BACH1	BRWD1	0.002	21
KCNE2	BRWD1	0.00283333333333333	21
RIPPLY3	BRWD1	0.0108333333333333	21
SAMSN1	GET1-SH3BGR	0.0015	21
MAP3K7CL	GET1-SH3BGR	0.0158333333333333	21
LINC00310	GET1-SH3BGR	0.0015	21
ANKRD30BP2	LCA5L	0.000333333333333333	21
D21S2088E	B3GALT5	0.000833333333333333	21
CYYR1	B3GALT5	0.00483333333333333	21
CHAF1B	B3GALT5	0.000166666666666667	21
D21S2088E	LINC00323	0.000666666666666667	21
HMGN1	LINC00323	0.00733333333333333	21
CYYR1-AS1	PLAC4	0.00933333333333333	21
KRTAP20-3	PLAC4	0.011	21
MRPS6	PLAC4	0.000333333333333333	21
DONSON	MX2	0.009	21
CXADR	TMPRSS2	0.005	21
SAMSN1	LINC00479	0.00666666666666667	21
LINC00307	ZBTB21	0.00783333333333333	21
LINC01689	TFF3	0.00666666666666667	21
DSCR8	TFF3	0.001	21
LINC01692	TFF1	0.000833333333333333	21
GABPA	TFF1	0.0075	21
MIS18A	TFF1	0.000833333333333333	21
LOC100506403	UBASH3A	0.005	21
BTG3-AS1	RSPH1	0.00466666666666667	21
LINC00515	SLC37A1	0.0015	21
LINC01436	SLC37A1	0.002	21
LOC101930094	SLC37A1	0.00283333333333333	21
GRIK1-AS1	LINC01671	0.00216666666666667	21
SYNJ1	LINC01671	0.003	21
LOC100506403	LINC01671	0.0065	21
LINC00114	PDE9A	0.00166666666666667	21
MAP3K7CL	WDR4	0.00383333333333333	21
KCNE1	WDR4	0.0025	21
GRIK1-AS2	ERVH48-1	0.00566666666666667	21
ITSN1	ERVH48-1	0.01	21
CBR3-AS1	ERVH48-1	0.00416666666666667	21
ADAMTS5	PKNOX1	0.0185	21
SAMSN1	RRP1B	0.000333333333333333	21
TMPRSS15	RRP1B	0.000333333333333333	21
SAMSN1	PDXK	0.0101666666666667	21
D21S2088E	CSTB	0.00266666666666667	21
BTG3-AS1	RRP1	0.000333333333333333	21
LINC01697	AATBC	0.00233333333333333	21
SAMSN1	AGPAT3	0.0025	21
KRTAP19-7	TRAPPC10	0.0085	21
MRAP	DNMT3L	0.0115	21
KRTAP19-7	PFKL	0.00166666666666667	21
LINC02246	CFAP410	0.0045	21
LINC00945	CFAP410	0.000166666666666667	21
LOC110091776	TRPM2	0.001	21
BACE2	TRPM2	0.00266666666666667	21
TFF3	TRPM2	0.000333333333333333	21
POTED	TRPM2-AS	0.0025	21
TMEM50B	TRPM2-AS	0.0035	21
ITSN1	TRPM2-AS	0.000666666666666667	21
ITSN1	LINC02575	0.000833333333333333	21
EVA1C	TSPEAR-AS1	0.00183333333333333	21
LRRC3-DT	TSPEAR-AS1	0.0115	21
ITSN1	TSPEAR-AS2	0.00166666666666667	21
LCA5L	KRTAP10-3	0.003	21
DSCAM	KRTAP10-3	5e-04	21
AGPAT3	KRTAP10-3	0.00533333333333333	21
GRIK1	KRTAP10-10	0.00483333333333333	21
MIR548XHG	UBE2G2	5e-04	21
PSMG1	UBE2G2	5e-04	21
LINC00317	LINC01424	0.0035	21
CYYR1-AS1	SUMO3	0.007	21
C21orf91-OT1	PTTG1IP	0.000166666666666667	21
GABPA	ITGB2-AS1	0.00316666666666667	21
MX1	ITGB2-AS1	0.0045	21
PFKL	ITGB2-AS1	0.005	21
KRTAP20-1	LINC00163	0.0153333333333333	21
LINC00649	LINC00163	5e-04	21
MORC3	LINC00163	0.001	21
GET1-SH3BGR	LINC00163	0.00283333333333333	21
UBASH3A	LINC00163	0.00466666666666667	21
PKNOX1	LINC00163	0.00116666666666667	21
KRTAP10-3	LINC00163	0.00716666666666667	21
MIS18A	ADARB1	0.0293333333333333	21
BRWD1	ADARB1	0.000833333333333333	21
SCAF4	POFUT2	5e-04	21
MIR99AHG	LINC00205	0.00466666666666667	21
NCAM2	LINC00205	0.00283333333333333	21
ADAMTS1	COL18A1	0.004	21
LINC01424	COL18A1	0.00533333333333333	21
USP25	LOC101928796	0.00216666666666667	21
LINC00515	LOC101928796	0.0173333333333333	21
MRPL39	LOC101928796	0.004	21
N6AMT1	LOC101928796	0.0055	21
MAP3K7CL	LOC101928796	0.00166666666666667	21
CSTB	LOC101928796	0.0025	21
TRPM2	LOC101928796	0.000333333333333333	21
LINC00163	LOC101928796	0.0155	21
SAMSN1	COL6A1	0.00483333333333333	21
LINC01425	COL6A1	0.0035	21
PDXK	COL6A1	0.00666666666666667	21
LINC00205	COL6A1	0.00283333333333333	21
COL18A1-AS1	COL6A1	0.000666666666666667	21
D21S2088E	COL6A2	0.00366666666666667	21
ZNF295-AS1	COL6A2	0.0035	21
POTED	FTCD	0.002	21
C21orf91	FTCD	0.00416666666666667	21
LINC00945	FTCD	0.000833333333333333	21
IFNAR1	FTCD	0.000333333333333333	21
KCNE1	FTCD	0.0106666666666667	21
ADAMTS1	SPATC1L	0.0131666666666667	21
LINC00945	MCM3AP	0.00166666666666667	21
DYRK1A	MCM3AP	0.00183333333333333	21
SCAF4	C21orf58	0.00216666666666667	21
TRPM2	PCNT	0.00816666666666667	21
MCM3AP-AS1	PCNT	0.0118333333333333	21
ETS2	PRMT2	0.0035	21
TPTEP1	UBE2L3	0.0105	22
TRMT2A	SDF2L1	0.0246666666666667	22
LINC00528	LOC107985532	0.0135	22
CLTCL1	CES5AP1	0.0075	22
THAP7-AS1	RGL4	0.00483333333333333	22
MIR650	DDTL	0.00183333333333333	22
TRMT2A	POM121L10P	0.0108333333333333	22
PI4KAP2	PIWIL3	0.0223333333333333	22
C22orf39	IGLL3P	0.00883333333333333	22
TRMT2A	CRYBB2P1	0.00633333333333333	22
ZNF280A	HPS4	0.00933333333333333	22
POM121L10P	LOC100507599	0.0075	22
VPREB3	LIF	0.0065	22
MIATNB	LOC105372990	0.000666666666666667	22
BCRP3	SEC14L3	0.00266666666666667	22
MIATNB	SEC14L4	0.004	22
HPS4	GAL3ST1	0.00233333333333333	22
PIWIL3	LOC107985544	0.00633333333333333	22
THAP7-AS1	LINC01521	0.00316666666666667	22
ASPHD2	YWHAH	0.02	22
SDF2L1	LARGE1	0.00433333333333333	22
TOP3B	LARGE1	0.00483333333333333	22
MIATNB	LL22NC01-81G9.3	0.000333333333333333	22
ASPHD2	IL2RB	0.00633333333333333	22
TOM1	ELFN2	0.00233333333333333	22
LINC02556	MICALL1	0.00533333333333333	22
CDC42EP1	MICALL1	0.0035	22
NEFH	SLC16A8	0.00383333333333333	22
RFPL3S	PLA2G6	0.00183333333333333	22
RFPL3S	FAM83F	0.0208333333333333	22
TMPRSS6	TOB2	0.00733333333333333	22
THAP7-AS1	XRCC6	0.0101666666666667	22
LOC100507599	WBP2NL	0.000833333333333333	22
SPECC1L-ADORA2A	CYP2D6	0.000333333333333333	22
ASPHD2	POLDIP3	0.001	22
CLTCL1	SCUBE1-AS1	0.0025	22
PIWIL3	EFCAB6	0.00316666666666667	22
BMS1P20	PNPLA5	0.00533333333333333	22
SGSM3	PNPLA5	0.00516666666666667	22
HMOX1	SMC1B	0.00366666666666667	22
INPP5J	ATXN10	0.0015	22
MIAT	PRR34-AS1	0.00433333333333333	22
PI4KAP2	TBC1D22A	0.00883333333333333	22
POM121L10P	TBC1D22A	0.0163333333333333	22
LARGE1	SBF1	0.00433333333333333	22
PLA2G6	ADM2	5e-04	22
LINC00528	LOC105373100	0.0105	22
